OPERATION_NAME,MACHINE_NAME,MACHINE_GROUP,Product_Item,Item_Code,CYCLE_TIME,CYCLE_START_TIME,CYCLE_COMPLETE_TIME,ROBOT_RUNNING_TIME,ROBOT_IDLE_TIME,ROBOT_MANUAL_MODE_TIME,ROBOT_ERROR_TIME,SHIFT_RUNNING_PART_COUNT,CURRENT_SHIFT,OEE,UPDATED_DATE,TOTAL_PRODUCTION_COUNT,TOTAL_RUNNING_TIME,TOTAL_IDLE_TIME,ROBOT_DOWNTIME,Downtime_Reason,Maintenance_Flag,Shift_Target,Shift_Achieved,Shift_Efficiency (%),Utilization_Rate (%),Error_Code,Downtime_Percentage,Maintenance_Needed,Status
QUANTOR_ALIGNMENT_5,MAC_LINE_5_FLUXEN,MACLINE-1,NeuraX (V5.3),ZX-2387-B5,34631,09-10-2025 01:47,09-10-2025 11:24,0,0,28477,0,0,SHIFT-C,0,16-05-2025,0,0,0,475,Maintenance,1,1122,1116,99.47,72.44,E214,47500,1,Healthy
MACHINA_CALIBRATION_1,MAC_LINE_5_EONIX,MACLINE-2,Nexora (V2.3),ZX-9078-C1,130,09-10-2025 04:12,09-10-2025 04:15,5622,22472,0,0,46,SHIFT-C,0,15-05-2025,149,18628,20156,0,Manual Stop,0,928,969,104.42,61.37,E879,0,0,Healthy
LUMINA_TEST_2,MAC_LINE_2_VORTAN,MACLINE-1,Vortan (V7.2),TX-2297-A4,299,09-10-2025 14:53,09-10-2025 14:58,0,0,98.97,222.22,0,SHIFT-B,0,16-05-2025,0,0,0,475,Power Failure,1,921,774,84.04,60.61,E489,47500,0,Healthy
GALVION_COATING_3,MAC_LINE_2_ASTRA,MACLINE-2,Machina (V7.5),TX-3887-A3,219,09-10-2025 18:46,09-10-2025 18:50,204,28170,67,15,1,SHIFT-B,0.45,16-05-2025,1,198,56839,0,Manual Stop,1,1092,941,86.17,96.08,E525,0,0,Healthy
ASTRA_PACKAGING_1,MAC_LINE_2_GALVION,MACLINE-2,Lumina (V5.5),ZX-1009-C8,0,09-10-2025 18:35,09-10-2025 18:35,0,28283,0,0,1,SHIFT-B,0,16-05-2025,2,0,57063,0,Manual Stop,1,1051,1009,96,60.47,E359,0,0,Healthy
NEURAX_SEALING_3,MAC_LINE_3_NEURAX,MACLINE-2,Cerevex (V2.8),VX-8288-B7,1,09-10-2025 18:53,09-10-2025 18:53,0,28461,0,0,0,SHIFT-C,0,16-05-2025,2,0,36639,0,Power Failure,0,1075,1151,107.07,88.76,E345,0,0,Healthy
VORTAN_ASSEMBLY_1,MAC_LINE_5_CEREVEX,MACLINE-2,Quantor (V3.1),HX-3446-B1,1,09-10-2025 13:54,09-10-2025 13:54,0,27171,0,0,32,SHIFT-A,0,17-05-2025,32,0,8031,0,Manual Stop,0,1142,962,84.24,79.45,E295,0,0,Healthy
SYNTRA_CALIBRATION_4,MAC_LINE_2_CEREVEX,MACLINE-2,Axion (V7.1),HX-5429-A2,186,09-10-2025 19:26,09-10-2025 19:29,0,28471,0,0,0,SHIFT-C,0,23-05-2025,0,0,85368,0,Sensor Fault,0,1300,1329,102.23,83.09,E521,0,1,Healthy
DRAVON_PACKAGING_5,MAC_LINE_2_SYNTRA,MACLINE-1,Axion (V4.5),ZX-2825-C1,236,09-10-2025 13:37,09-10-2025 13:41,12533,15878,218,0,53,SHIFT-A,56.88,24-05-2025,53,12532,15873,4,Network Issue,1,1371,1339,97.67,91.54,E871,0.01,0,Healthy
HELION_ALIGNMENT_3,MAC_LINE_3_NEXORA,MACLINE-4,Quantor (V8.1),NX-1667-B3,158,09-10-2025 21:47,09-10-2025 21:49,13577,13300,0,35,84,SHIFT-B,57.4,27-05-2025,160,25291,38699,33,Network Issue,0,1101,995,90.37,68.29,E248,0.12,0,Healthy
NEXORA_COATING_4,MAC_LINE_1_AURALON,MACLINE-2,Vortan (V2.1),HX-5666-B6,130,09-10-2025 13:44,09-10-2025 13:46,5542,22574,0,0,45,SHIFT-A,25.56,09-06-2025,45,5630,20839,0,Sensor Fault,1,969,865,89.27,81.32,E479,0,1,Healthy
LUMINA_TEST_1,MAC_LINE_2_MACHINA,MACLINE-1,Cerevex (V5.5),HX-8068-A4,0,09-10-2025 22:33,09-10-2025 14:37,0,0,77.01,222.22,0,SHIFT-C,100,27-06-2025,0,14350,0,369,Maintenance,1,990,881,88.99,63.61,E360,36900,1,Healthy
EONIX_ASSEMBLY_1,MAC_LINE_3_LUMINA,MACLINE-1,Orvion (V3.1),HX-1361-C8,109,09-10-2025 13:54,09-10-2025 13:55,575,27168,12,0,8,SHIFT-A,2.61,28-06-2025,8,575,27166,14,Power Failure,0,857,818,95.45,61.83,E362,0.05,0,Healthy
